,Year,Movie,Time,Gener,star,Metascore,Votes,Gross_earning,Director
318,2004,The Bourne Supremacy,108,"Action,",7.7,82,470215,176.24,Paul Greengrass
319,2013,Captain Phillips,134,"Action,",7.8,55,469314,107.1,Paul Greengrass
320,2004,The Terminal,128,"Comedy,",7.4,56,468951,77.87,Steven Spielberg
321,2019,Twilight,122,"Drama,",5.3,89,468857,191.47,Catherine Hardwicke
322,2014,Divergent,139,"Action,",6.6,62,468299,150.95,Neil Burger
323,2011,The Help,146,Drama,8.1,50,467679,169.71,Tate Taylor
324,1986,Top Gun,109,"Action,",6.9,64,467494,179.8,Tony Scott
325,2014,The Hunger Games: Mockingjay - Part 1,123,"Action,",6.6,84,466113,337.14,Francis Lawrence
326,2003,Mystic River,138,"Crime,",7.9,71,464366,90.14,Clint Eastwood
327,2010,Tangled,100,"Animation,",7.7,91,463934,200.82,"Nathan Greno, "
328,2003,Lost in Translation,102,"Comedy,",7.7,48,463635,44.59,Sofia Coppola
329,2011,Sherlock Holmes: A Game of Shadows,129,"Action,",7.4,65,462816,186.85,Guy Ritchie
330,2008,Indiana Jones and the Kingdom of the Crystal Skull,122,"Action,",6.2,53,461978,317.1,Steven Spielberg
331,2019,Star Wars: Episode IX - The Rise of Skywalker,141,"Action,",6.5,95,461477,515.2,J.J. Abrams
332,1991,Beauty and the Beast,84,"Animation,",8.0,71,461131,218.97,"Gary Trousdale, "
333,2014,The Theory of Everything,123,"Biography,",7.7,45,460151,35.89,James Marsh
334,2017,Justice League,120,"Action,",6.1,44,459774,229.02,Zack Snyder
335,2013,We're the Millers,110,"Comedy,",7.0,95,459328,150.39,Rawson Marshall Thurber
336,2008,The Hurt Locker,131,"Drama,",7.5,47,458493,17.02,Kathryn Bigelow
337,2004,The Day After Tomorrow,124,"Action,",6.4,73,457026,186.74,Roland Emmerich
338,2005,War of the Worlds,116,"Action,",6.5,55,456820,234.28,Steven Spielberg
339,1990,Back to the Future Part III,118,"Adventure,",7.4,57,456271,87.73,Robert Zemeckis
340,2011,Horrible Bosses,98,"Comedy,",6.9,58,455385,117.54,Seth Gordon
341,2008,Quantum of Solace,106,"Action,",6.6,61,455268,168.37,Marc Forster
342,2019,Elysium,109,"Action,",6.6,72,454603,93.05,Neill Blomkamp
343,2002,Gangs of New York,167,"Crime,",7.5,75,450775,77.81,Martin Scorsese
344,2017,John Wick: Chapter 2,122,"Action,",7.4,55,450662,92.03,Chad Stahelski
345,2003,The Last Samurai,154,"Action,",7.8,79,448806,111.11,Edward Zwick
346,2014,Dawn of the Planet of the Apes,130,"Action,",7.6,60,448519,208.55,Matt Reeves
347,2019,Spectre,148,"Action,",6.8,64,447958,200.07,Sam Mendes
348,2018,Ready Player One,140,"Action,",7.4,100,447477,137.69,Steven Spielberg
349,1941,Citizen Kane,119,"Drama,",8.3,73,447463,1.59,Orson Welles
350,2005,The 40 Year Old Virgin,116,"Comedy,",7.1,69,446527,109.45,Judd Apatow
351,2001,Training Day,122,"Action,",7.7,58,446158,76.63,Antoine Fuqua
352,2003,Big Fish,125,"Adventure,",8.0,52,446093,66.26,Tim Burton
353,2016,X-Men: Apocalypse,144,"Action,",6.9,81,442511,155.44,Bryan Singer
354,2015,The Big Short,130,"Biography,",7.8,82,442030,70.26,Adam McKay
355,2015,Sicario,121,"Action,",7.6,67,441223,46.89,Denis Villeneuve
356,2008,In Bruges,107,"Comedy,",7.9,66,440893,7.76,Martin McDonagh
357,2019,Crash,112,"Crime,",7.7,46,440816,54.58,Paul Haggis
358,2006,The Da Vinci Code,149,"Mystery,",6.6,48,440743,217.54,Ron Howard
359,1999,The Mummy,124,"Action,",7.1,69,440157,155.25,Stephen Sommers
360,2010,Scott Pilgrim vs. the World,112,"Action,",7.5,59,436251,31.49,Edgar Wright
361,1996,Mission: Impossible,110,"Action,",7.1,57,435053,180.98,Brian De Palma
362,1982,The Thing,109,"Horror,",8.2,87,433764,13.78,John Carpenter
363,2011,Moneyball,133,"Biography,",7.6,42,433664,75.61,Bennett Miller
364,1998,Armageddon,151,"Action,",6.7,77,433424,201.57,Michael Bay
365,1987,The Princess Bride,98,"Adventure,",8.0,76,433261,30.86,Rob Reiner
366,2007,American Gangster,157,"Biography,",7.8,73,433256,130.16,Ridley Scott
367,2006,Cars,117,"Animation,",7.2,72,433243,244.08,"John Lasseter, "
368,2012,Wreck-It Ralph,101,"Animation,",7.7,81,431870,189.42,Rich Moore
369,2011,Midnight in Paris,94,"Comedy,",7.7,47,431705,56.82,Woody Allen
370,1987,Predator,107,"Action,",7.8,60,431026,59.74,John McTiernan
371,2022,Doctor Strange in the Multiverse of Madness,126,"Action,",6.9,86,431023,411.33,Sam Raimi
372,1992,Aladdin,90,"Animation,",8.0,46,430772,217.35,"Ron Clements, "
373,2004,Saw,103,"Horror,",7.6,62,430745,56.0,James Wan
374,2006,The Devil Wears Prada,109,"Comedy,",6.9,81,430605,124.74,David Frankel
375,2005,King Kong,187,"Action,",7.2,87,430459,218.08,Peter Jackson
376,2017,The Shape of Water,123,"Drama,",7.3,86,428968,63.86,Guillermo del Toro
377,2019,Room,118,"Drama,",8.1,72,428146,14.68,Lenny Abrahamson
378,2011,The Cabin in the Woods,95,"Horror,",7.0,71,427421,42.07,Drew Goddard
379,2008,Tropic Thunder,107,"Action,",7.1,59,426123,110.52,Ben Stiller
380,1997,The Lost World: Jurassic Park,129,"Action,",6.5,62,425547,229.09,Steven Spielberg
381,2000,Unbreakable,106,"Drama,",7.3,71,424895,95.01,M. Night Shyamalan
382,1984,Ghostbusters,105,"Action,",7.8,53,422755,238.63,Ivan Reitman
383,2019,Alice in Wonderland,108,"Adventure,",6.4,73,422457,334.19,Tim Burton
384,2002,28 Days Later...,113,"Drama,",7.5,92,422066,45.06,Danny Boyle
385,1986,Platoon,120,"Drama,",8.1,62,420438,138.53,Oliver Stone
386,2014,Godzilla,123,"Action,",6.4,69,420126,200.68,Gareth Edwards
387,2012,Brave,93,"Animation,",7.1,67,420026,237.28,"Mark Andrews, "
388,2013,This Is the End,107,"Comedy,",6.6,53,419608,101.47,"Evan Goldberg, "
389,2011,In Time,109,"Action,",6.7,89,419448,37.52,Andrew Niccol
390,2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,84,Comedy,7.3,70,419023,128.51,Larry Charles
391,2018,Ant-Man and the Wasp,118,"Action,",7.0,85,418025,216.65,Peyton Reed
392,1992,Unforgiven,130,"Drama,",8.2,91,417624,101.16,Clint Eastwood
393,1982,E.T. the Extra-Terrestrial,115,"Adventure,",7.9,41,417579,435.11,Steven Spielberg
394,2019,Passengers,116,"Drama,",7.0,81,416726,100.01,Morten Tyldum
395,1973,The Exorcist,122,Horror,8.1,42,416474,232.91,William Friedkin
396,2011,Transformers: Dark of the Moon,154,"Action,",6.2,58,415288,352.39,Michael Bay
397,1999,American Pie,95,Comedy,7.0,57,414491,102.56,"Paul Weitz, "
398,2005,Madagascar,86,"Animation,",6.9,68,413450,193.6,"Eric Darnell, "
399,2021,No Time to Die,163,"Action,",7.3,71,412986,160.87,Cary Joji Fukunaga
400,2004,Collateral,120,"Action,",7.5,75,412811,101.01,Michael Mann
401,1986,Stand by Me,89,"Adventure,",8.1,35,412760,52.29,Rob Reiner
402,2009,Transformers: Revenge of the Fallen,149,"Action,",5.9,46,412476,402.11,Michael Bay
403,2003,Bruce Almighty,101,"Comedy,",6.8,69,412418,242.83,Tom Shadyac
404,2007,Live Free or Die Hard,128,"Action,",7.1,81,410965,134.53,Len Wiseman
405,2019,Ford v Ferrari,152,"Action,",8.1,66,409200,117.62,James Mangold
406,1985,The Breakfast Club,97,"Comedy,",7.8,100,408885,45.88,John Hughes
407,1958,Vertigo,128,"Mystery,",8.3,54,407939,3.2,Alfred Hitchcock
408,2013,Despicable Me 2,98,"Animation,",7.3,67,407227,368.06,"Pierre Coffin, "
409,2009,3 Idiots,170,"Comedy,",8.4,75,407173,6.53,Rajkumar Hirani
410,2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143,"Adventure,",6.9,92,407088,291.71,Andrew Adamson
411,1939,The Wizard of Oz,102,"Adventure,",8.1,88,407015,2.08,"Victor Fleming, "
412,1984,Amadeus,160,"Biography,",8.4,64,406825,51.97,Milos Forman
413,2008,Cloverfield,85,"Action,",7.0,77,405954,80.05,Matt Reeves
414,1979,Life of Brian,94,Comedy,8.0,66,405806,20.05,Terry Jones
415,2003,Terminator 3: Rise of the Machines,109,"Action,",6.3,82,405520,150.37,Jonathan Mostow
416,2004,Hauru no ugoku shiro,119,"Animation,",8.2,63,405480,4.71,Hayao Miyazaki
417,1997,The Game,129,"Drama,",7.7,60,405424,48.32,David Fincher
418,1990,The Godfather Part III,162,"Crime,",7.6,58,404542,66.67,Francis Ford Coppola
419,2019,Jojo Rabbit,108,"Comedy,",7.9,74,403756,33.37,Taika Waititi
420,2001,Black Hawk Down,144,"Action,",7.7,76,403714,108.64,Ridley Scott
421,1997,Mononoke-hime,134,"Animation,",8.3,61,402217,2.38,Hayao Miyazaki
422,2013,Furious 6,130,"Action,",7.0,81,400183,238.68,Justin Lin
423,2022,Everything Everywhere All at Once,139,"Action,",7.9,94,399944,72.86,"Daniel Kwan, "
424,2019,The Irishman,209,"Biography,",7.8,72,398644,7.0,Martin Scorsese
425,2010,Easy A,92,"Comedy,",7.0,74,398478,58.4,Will Gluck
426,2010,The Town,125,"Crime,",7.5,61,398318,92.19,Ben Affleck
427,2004,The Machinist,101,"Drama,",7.7,58,397865,1.08,Brad Anderson
428,2004,Ocean's Twelve,125,"Crime,",6.5,67,397723,125.54,Steven Soderbergh
429,2015,Fast & Furious 7,137,"Action,",7.1,64,396158,353.01,James Wan
430,2008,Wanted,110,"Action,",6.7,56,395415,134.51,Timur Bekmambetov
431,1994,The Mask,101,"Action,",6.9,71,395128,119.94,Chuck Russell
432,2021,Shang-Chi and the Legend of the Ten Rings,132,"Action,",7.4,66,394707,224.54,Destin Daniel Cretton
433,2004,Mean Girls,97,Comedy,7.1,89,394568,86.06,Mark Waters
434,2006,The Lives of Others,137,"Drama,",8.4,58,394111,11.29,Florian Henckel von Donnersmarck
435,1995,Die Hard with a Vengeance,128,"Action,",7.6,88,393963,100.01,John McTiernan
436,2018,A Star Is Born,136,"Drama,",7.6,58,393762,215.29,Bradley Cooper
437,2001,The Fast and the Furious,106,"Action,",6.8,41,393237,144.53,Rob Cohen
438,1994,Dumb and Dumber,107,Comedy,7.3,58,392995,127.18,"Peter Farrelly, "
439,2017,Jumanji: Welcome to the Jungle,119,"Action,",6.9,68,391624,404.52,Jake Kasdan
440,2021,Black Widow,134,"Action,",6.7,66,390545,183.65,Cate Shortland
441,2011,Fast Five,130,"Action,",7.3,71,387576,209.84,Justin Lin
442,2014,22 Jump Street,112,"Action,",7.0,69,385739,191.72,"Phil Lord, "
443,1989,Batman,126,"Action,",7.5,82,384272,251.19,Tim Burton
444,1997,Face/Off,138,"Action,",7.3,69,384189,112.23,John Woo
445,2014,The Fault in Our Stars,126,"Drama,",7.7,49,384141,124.87,Josh Boone
446,2019,2012,158,"Action,",5.8,82,383926,166.11,Roland Emmerich
447,2010,127 Hours,94,"Biography,",7.5,49,383809,18.34,Danny Boyle
448,2002,Men in Black II,88,"Action,",6.2,56,383315,190.42,Barry Sonnenfeld
449,2014,Maleficent,97,"Adventure,",6.9,62,383130,241.41,Robert Stromberg
450,2021,Free Guy,115,"Action,",7.1,75,382469,121.63,Shawn Levy
451,2015,Mission: Impossible - Rogue Nation,131,"Action,",7.4,57,380805,195.04,Christopher McQuarrie
452,2014,The Equalizer,132,"Action,",7.2,60,380318,101.53,Antoine Fuqua
453,1997,The Devil's Advocate,144,"Drama,",7.5,76,380140,60.98,Taylor Hackford
454,2006,Inside Man,129,"Crime,",7.6,68,380017,88.51,Spike Lee
455,2006,The Illusionist,110,"Drama,",7.6,63,378127,39.87,Neil Burger
456,2011,Friends with Benefits,109,"Comedy,",6.5,68,376865,55.8,Will Gluck
457,2003,The Italian Job,111,"Action,",7.0,79,374922,106.13,F. Gary Gray
458,2019,The Fighter,116,"Action,",7.8,85,374674,93.62,David O. Russell
459,2007,Knocked Up,129,"Comedy,",6.9,83,374610,148.73,Judd Apatow
460,2007,Sweeney Todd: The Demon Barber of Fleet Street,116,"Drama,",7.3,74,374231,52.9,Tim Burton
461,2001,The Others,101,"Horror,",7.6,46,373764,96.52,Alejandro Amenábar
462,1992,Home Alone 2: Lost in New York,120,"Adventure,",6.8,78,372243,173.59,Chris Columbus
463,1994,Speed,116,"Action,",7.3,59,371860,121.25,Jan de Bont
464,2002,Signs,106,"Drama,",6.8,58,370336,227.97,M. Night Shyamalan
465,2012,Men in Black 3,106,"Action,",6.8,47,370066,179.02,Barry Sonnenfeld
466,2004,Man on Fire,146,"Action,",7.7,46,369369,77.91,Tony Scott
467,2008,Yes Man,104,"Comedy,",6.8,67,368913,97.69,Peyton Reed
468,1990,Die Hard 2,124,"Action,",7.1,77,368811,117.54,Renny Harlin
469,2004,The Aviator,170,"Biography,",7.5,84,368535,102.61,Martin Scorsese
470,2013,Snowpiercer,126,"Action,",7.1,81,368449,4.56,Bong Joon Ho
471,2013,Monsters University,104,"Animation,",7.2,65,367766,268.49,Dan Scanlon
472,2009,Terminator Salvation,115,"Action,",6.5,61,367140,125.32,McG
473,1986,Ferris Bueller's Day Off,103,Comedy,7.8,55,366213,70.14,John Hughes
474,2012,Cloud Atlas,172,"Drama,",7.4,87,366067,27.11,"Tom Tykwer, "
475,2005,Brokeback Mountain,134,"Drama,",7.7,67,364877,83.04,Ang Lee
476,2009,Moon,97,"Drama,",7.8,72,364650,5.01,Duncan Jones
477,2021,The Suicide Squad,132,"Action,",7.2,63,364189,55.82,James Gunn
478,2004,Anchorman: The Legend of Ron Burgundy,94,Comedy,7.1,83,364030,85.29,Adam McKay
479,2014,The Lego Movie,100,"Animation,",7.7,66,363700,257.76,"Phil Lord, "
480,2006,Mission: Impossible III,126,"Action,",6.9,86,363660,134.03,J.J. Abrams
481,2001,Mulholland Dr.,147,"Drama,",7.9,48,363581,7.22,David Lynch
482,2004,50 First Dates,99,"Comedy,",6.8,64,363151,120.91,Peter Segal
483,2005,Wedding Crashers,119,"Comedy,",7.0,73,362753,209.22,David Dobkin
484,2019,John Wick: Chapter 3 - Parabellum,130,"Action,",7.4,55,362040,171.02,Chad Stahelski
485,2019,About Time,123,"Comedy,",7.8,76,360745,15.32,Richard Curtis
486,2019,Flight,138,"Drama,",7.3,82,360693,93.77,Robert Zemeckis
487,2004,Der Untergang,156,"Biography,",8.2,79,360147,5.51,Oliver Hirschbiegel
488,2004,Hotel Rwanda,121,"Biography,",8.1,89,360045,23.53,Terry George
489,1980,Raging Bull,129,"Biography,",8.2,100,359811,23.38,Martin Scorsese
490,2019,Boyhood,165,Drama,7.9,72,358542,25.38,Richard Linklater
491,2011,Super 8,112,"Action,",7.0,48,357947,127.0,J.J. Abrams
492,2006,Night at the Museum,108,"Adventure,",6.4,75,357321,250.86,Shawn Levy
493,1984,Once Upon a Time in America,229,"Crime,",8.3,57,357285,5.32,Sergio Leone
494,2002,The Ring,115,"Horror,",7.1,65,357105,129.13,Gore Verbinski
495,1996,Scream,111,"Horror,",7.4,64,356517,103.05,Wes Craven
496,1997,Jackie Brown,154,"Crime,",7.5,62,356112,39.67,Quentin Tarantino
497,2018,Solo: A Star Wars Story,135,"Action,",6.9,84,356054,213.77,Ron Howard
498,2012,Moonrise Kingdom,94,"Comedy,",7.8,39,354850,45.51,Wes Anderson
499,1995,Jumanji,104,"Adventure,",7.0,50,354484,100.48,Joe Johnston
500,2005,Constantine,121,"Action,",7.0,51,354168,75.98,Francis Lawrence
501,2019,The Gentlemen,113,"Action,",7.8,51,353898,36.47,Guy Ritchie
502,2007,Ocean's Thirteen,122,"Crime,",6.9,70,353571,117.15,Steven Soderbergh
503,1999,10 Things I Hate About You,97,"Comedy,",7.3,57,353375,38.18,Gil Junger
504,2022,Thor: Love and Thunder,118,"Action,",6.3,52,353015,343.26,Taika Waititi
505,2021,Eternals,156,"Action,",6.3,71,352662,164.87,Chloé Zhao
506,2019,Shazam!,132,"Action,",7.0,45,352250,140.37,David F. Sandberg
507,2010,The Expendables,103,"Action,",6.4,68,350993,103.07,Sylvester Stallone
508,1999,Eyes Wide Shut,159,"Drama,",7.5,98,350465,55.69,Stanley Kubrick
509,1954,Shichinin no samurai,207,"Action,",8.6,59,350231,0.27,Akira Kurosawa
510,2000,Mission: Impossible II,123,"Action,",6.1,82,349783,215.41,John Woo
511,1993,The Nightmare Before Christmas,76,"Animation,",7.9,51,349082,75.08,Henry Selick
512,2010,Due Date,95,"Comedy,",6.5,86,348617,100.54,Todd Phillips
513,1988,Tonari no Totoro,86,"Animation,",8.1,50,347817,1.11,Hayao Miyazaki
514,2012,Jack Reacher,130,"Action,",7.0,81,347602,80.07,Christopher McQuarrie
515,2019,Moana,107,"Animation,",7.6,64,346037,248.76,"Ron Clements, "
516,2008,Pineapple Express,111,"Action,",6.9,80,345760,87.34,David Gordon Green
517,2010,True Grit,110,"Drama,",7.6,58,344844,171.24,"Ethan Coen, "
518,1996,The Rock,136,"Action,",7.4,86,344439,134.07,Michael Bay
519,1978,The Deer Hunter,183,"Drama,",8.1,77,344370,48.98,Michael Cimino
520,2014,How to Train Your Dragon 2,102,"Animation,",7.8,49,343798,177.0,Dean DeBlois
521,2010,Tron,125,"Action,",6.8,90,343301,172.06,Joseph Kosinski
522,1999,Being John Malkovich,113,"Comedy,",7.7,73,341551,22.86,Spike Jonze
523,2000,Meet the Parents,108,"Comedy,",7.0,86,341322,166.24,Jay Roach
524,2018,Mission: Impossible - Fallout,147,"Action,",7.7,72,341064,220.16,Christopher McQuarrie
525,2019,Midsommar,148,"Drama,",7.1,53,340823,27.33,Ari Aster
526,2009,The Blind Side,129,"Biography,",7.6,40,340576,255.96,John Lee Hancock
527,2004,National Treasure,131,"Action,",6.9,83,340423,173.01,Jon Turteltaub
528,2019,Up in the Air,109,"Comedy,",7.4,83,340338,83.82,Jason Reitman
529,2019,Shooter,124,"Action,",7.1,63,339849,47.0,Antoine Fuqua
530,2008,Burn After Reading,96,"Comedy,",7.0,45,338934,60.36,"Ethan Coen, "
531,2006,Click,107,"Comedy,",6.4,52,338931,137.36,Frank Coraci
533,2001,Pearl Harbor,183,"Action,",6.2,44,338550,198.54,Michael Bay
534,2017,Kingsman: The Golden Circle,141,"Action,",6.7,60,338472,100.23,Matthew Vaughn
535,1990,Total Recall,113,"Action,",7.5,70,338024,119.39,Paul Verhoeven
536,2016,The Nice Guys,116,"Action,",7.3,65,337745,36.26,Shane Black
537,2015,The Hunger Games: Mockingjay - Part 2,137,"Action,",6.5,77,337567,281.72,Francis Lawrence
538,2012,Jagten,115,Drama,8.3,56,337401,0.69,Thomas Vinterberg
539,2011,Real Steel,127,"Action,",7.0,76,337146,85.47,Shawn Levy
540,2016,10 Cloverfield Lane,103,"Drama,",7.2,33,336503,72.08,Dan Trachtenberg
541,2002,Equilibrium,107,"Action,",7.3,80,336457,1.2,Kurt Wimmer
542,2007,The Simpsons Movie,87,"Animation,",7.3,48,336333,183.14,David Silverman
543,2019,The Proposal,108,"Comedy,",6.7,72,336173,163.96,Anne Fletcher
544,2004,Hellboy,122,"Action,",6.8,79,335914,59.62,Guillermo del Toro
545,2019,Annihilation,115,"Adventure,",6.8,72,335211,32.73,Alex Garland
546,2011,50/50,100,"Comedy,",7.6,63,334674,35.01,Jonathan Levine
547,2012,Les Misérables,158,"Drama,",7.5,82,334649,148.81,Tom Hooper
548,1968,Once Upon a Time in the West,165,Western,8.5,40,334508,5.32,Sergio Leone
549,2019,Fantastic Four,106,"Action,",5.7,51,334348,154.7,Tim Story
550,1990,Pretty Woman,119,"Comedy,",7.1,87,333848,178.41,Garry Marshall
551,2018,Hereditary,127,"Drama,",7.3,48,333345,44.07,Ari Aster
552,2001,The Mummy Returns,130,"Action,",6.4,98,332555,202.02,Stephen Sommers
553,1959,North by Northwest,136,"Action,",8.3,92,332391,13.28,Alfred Hitchcock
554,1974,Chinatown,130,"Drama,",8.2,59,332018,8.49,Roman Polanski
555,1994,Interview with the Vampire: The Vampire Chronicles,123,"Drama,",7.5,42,330269,105.26,Neil Jordan
556,2001,Jurassic Park III,92,"Action,",5.9,83,328229,181.17,Joe Johnston
557,2011,Hugo,126,"Adventure,",7.5,62,327299,73.86,Martin Scorsese
558,2017,Kong: Skull Island,118,"Action,",6.6,49,326554,168.05,Jordan Vogt-Roberts
559,2022,Bullet Train,127,"Action,",7.3,53,325788,103.37,David Leitch
560,2010,The Book of Eli,118,"Action,",6.8,46,324492,94.84,"Albert Hughes, "
561,2015,Fifty Shades of Grey,125,"Drama,",4.2,54,324420,166.17,Sam Taylor-Johnson
562,2013,The Secret Life of Walter Mitty,114,"Adventure,",7.3,51,324137,58.24,Ben Stiller
563,2018,Jurassic World: Fallen Kingdom,128,"Action,",6.1,62,324022,417.72,J.A. Bayona
564,2005,Lord of War,122,"Crime,",7.6,58,323809,24.15,Andrew Niccol
565,2019,Hitch,118,"Comedy,",6.6,67,323050,179.5,Andy Tennant
566,2022,Avatar: The Way of Water,192,"Action,",7.8,48,322209,659.68,James Cameron
567,1996,From Dusk Till Dawn,108,"Action,",7.2,68,321760,25.75,Robert Rodriguez
568,1999,Notting Hill,124,"Comedy,",7.2,30,321584,116.09,Roger Michell
569,2013,The Hangover Part III,100,"Comedy,",5.8,39,320983,112.2,Todd Phillips
570,2017,Pirates of the Caribbean: Dead Men Tell No Tales,129,"Action,",6.5,94,320353,172.56,"Joachim Rønning, "
571,2019,Marriage Story,137,"Drama,",7.9,97,320351,2.0,Noah Baumbach
572,1939,Gone with the Wind,238,"Drama,",8.2,88,320290,198.68,"Victor Fleming, "
573,2005,The Island,136,"Action,",6.8,65,319842,35.82,Michael Bay
574,2010,Salt,100,"Action,",6.4,32,319747,118.31,Phillip Noyce
575,2014,Transformers: Age of Extinction,165,"Action,",5.6,58,318921,245.44,Michael Bay
576,2007,The Mist,126,"Horror,",7.1,76,318695,25.59,Frank Darabont
577,2007,3:10 to Yuma,122,"Action,",7.7,69,318140,53.61,James Mangold
578,2000,"O Brother, Where Art Thou?",107,"Adventure,",7.7,68,318086,45.51,"Joel Coen, "
579,2006,Apocalypto,139,"Action,",7.8,53,318058,50.87,Mel Gibson
580,2006,Lucky Number Slevin,110,"Crime,",7.7,78,317669,22.49,Paul McGuigan
581,1999,Magnolia,188,Drama,8.0,69,317541,22.46,Paul Thomas Anderson
582,1998,There's Something About Mary,119,"Comedy,",7.1,56,316952,176.48,"Bobby Farrelly, "
583,2015,The Man from U.N.C.L.E.,116,"Action,",7.2,68,316936,45.45,Guy Ritchie
584,2019,Neighbors,97,Comedy,6.3,77,316751,150.16,Nicholas Stoller
585,1995,Before Sunrise,101,"Drama,",8.1,81,316586,5.54,Richard Linklater
586,2015,Bridge of Spies,142,"Drama,",7.6,79,316202,72.31,Steven Spielberg
587,1987,The Untouchables,119,"Crime,",7.8,65,316190,76.27,Brian De Palma
588,2019,Beauty and the Beast,129,"Adventure,",7.1,70,316133,504.01,Bill Condon
589,1997,Liar Liar,86,"Comedy,",6.9,59,316104,181.41,Tom Shadyac
590,2006,Deja Vu,126,"Action,",7.1,58,316079,64.04,Tony Scott
591,2012,The Dictator,83,Comedy,6.4,52,315671,59.65,Larry Charles
592,2019,Insidious,103,"Horror,",6.8,58,315489,54.01,James Wan
593,2007,Shrek the Third,93,"Animation,",6.1,99,315435,320.71,"Chris Miller, "
594,2019,Moonlight,111,Drama,7.4,76,315298,27.85,Barry Jenkins
595,1997,Donnie Brasco,127,"Biography,",7.7,60,314505,41.91,Mike Newell
596,2010,RED,111,"Action,",7.0,82,313828,90.38,Robert Schwentke
597,2003,School of Rock,109,"Comedy,",7.2,65,313224,81.26,Richard Linklater
598,2001,A.I. Artificial Intelligence,146,"Drama,",7.2,66,312926,78.62,Steven Spielberg
599,2012,Pitch Perfect,112,"Comedy,",7.1,70,312680,65.0,Jason Moore
600,1988,Beetle Juice,92,"Comedy,",7.5,45,312404,73.71,Tim Burton
601,2012,Taken 2,92,"Action,",6.2,35,312000,139.85,Olivier Megaton
602,2008,Jumper,88,"Action,",6.1,51,311794,80.17,Doug Liman
603,2012,The Expendables 2,103,"Action,",6.6,68,311616,85.02,Simon West
604,1992,Batman Returns,126,"Action,",7.1,80,311486,162.83,Tim Burton
605,2008,The Wrestler,109,"Drama,",7.9,81,311178,26.24,Darren Aronofsky
607,1997,Gattaca,106,"Drama,",7.8,37,309948,12.34,Andrew Niccol
608,1994,Ace Ventura: Pet Detective,86,Comedy,6.9,51,309086,72.22,Tom Shadyac
609,2002,The Transporter,92,"Action,",6.8,70,308880,25.3,"Louis Leterrier, "
610,2009,Public Enemies,140,"Action,",7.0,70,308188,97.1,Michael Mann
611,2011,Contagion,106,"Drama,",6.8,69,307606,75.66,Steven Soderbergh
612,2019,Babel,143,Drama,7.5,36,307592,34.3,Alejandro G. Iñárritu
613,2008,Seven Pounds,123,Drama,7.6,95,307145,69.95,Gabriele Muccino
614,2012,Zero Dark Thirty,157,"Drama,",7.4,61,307030,95.72,Kathryn Bigelow
615,2012,The Bourne Legacy,135,"Action,",6.6,48,306353,113.2,Tony Gilroy
616,2014,300: Rise of an Empire,102,"Action,",6.2,52,306079,106.58,Noam Murro
617,1997,Con Air,115,"Action,",6.9,59,305752,101.12,Simon West
618,1992,Scent of a Woman,156,Drama,8.0,59,305652,63.9,Martin Brest
619,1992,Alien³,114,"Action,",6.4,80,305492,55.47,David Fincher
620,2018,Incredibles 2,118,"Animation,",7.6,67,305149,608.58,Brad Bird
621,1997,As Good as It Gets,139,"Comedy,",7.7,82,305048,148.48,James L. Brooks
622,2005,Pride & Prejudice,129,"Drama,",7.8,34,304531,38.41,Joe Wright
623,2009,Law Abiding Citizen,109,"Action,",7.4,51,304137,73.34,F. Gary Gray
624,2008,Step Brothers,98,Comedy,6.9,52,302532,100.47,Adam McKay
625,1997,Starship Troopers,129,"Action,",7.3,51,302235,54.81,Paul Verhoeven
626,2016,The Accountant,128,"Action,",7.3,87,301815,86.26,Gavin O'Connor
627,1993,The Fugitive,130,"Action,",7.8,77,301760,183.88,Andrew Davis
628,2019,Apollo 13,140,"Adventure,",7.7,78,300976,173.84,Ron Howard
629,2002,Insomnia,118,"Drama,",7.2,93,300737,67.36,Christopher Nolan
630,2017,Lady Bird,94,"Comedy,",7.4,46,300077,48.96,Greta Gerwig
631,2016,Now You See Me 2,129,"Action,",6.4,52,299206,65.08,Jon M. Chu
632,2006,The Holiday,136,"Comedy,",6.9,74,299147,63.22,Nancy Meyers
633,2005,Serenity,119,"Action,",7.8,77,299057,25.51,Joss Whedon
634,1998,A Bug's Life,95,"Animation,",7.2,48,299002,162.8,"John Lasseter, "
635,2009,Angels & Demons,138,"Action,",6.7,100,298730,133.38,Ron Howard
636,1962,Lawrence of Arabia,218,"Adventure,",8.3,77,298701,44.82,David Lean
637,2002,8 Mile,110,"Drama,",7.2,76,298678,116.72,Curtis Hanson
638,2001,The Royal Tenenbaums,110,"Comedy,",7.6,75,298483,52.36,Wes Anderson
639,2019,Bridesmaids,125,"Comedy,",6.8,67,297108,169.11,Paul Feig
640,1998,Mulan,87,"Animation,",7.6,63,295616,120.62,"Tony Bancroft, "
641,2011,Kung Fu Panda 2,90,"Animation,",7.2,50,294689,165.25,Jennifer Yuh Nelson
642,2005,Kingdom of Heaven,144,"Action,",7.2,57,294606,47.4,Ridley Scott
643,2010,Prince of Persia: The Sands of Time,116,"Action,",6.6,60,294287,90.76,Mike Newell
644,2012,Snow White and the Huntsman,127,"Action,",6.1,46,293737,155.33,Rupert Sanders
